N_POINTS,N_THREADS,EXEC_TIME,L
1000,1,0.24024176597595215,java
1000,1,0.2487480640411377,java
1000,1,0.22271466255187988,java
1000,1,0.2368452548980713,java
1000,1,0.24383115768432617,java
1000,2,0.21802163124084473,java
1000,2,0.2117011547088623,java
1000,2,0.25053977966308594,java
1000,2,0.2469651699066162,java
1000,2,0.2709767818450928,java
1000,4,0.24622845649719238,java
1000,4,0.21291327476501465,java
1000,4,0.20710420608520508,java
1000,4,0.21426987648010254,java
1000,4,0.2297050952911377,java
1000,8,0.2350461483001709,java
1000,8,0.24632048606872559,java
1000,8,0.2301931381225586,java
1000,8,0.23880934715270996,java
1000,8,0.21371746063232422,java
1000,16,0.24980592727661133,java
1000,16,0.23996186256408691,java
1000,16,0.24232697486877441,java
1000,16,0.24233722686767578,java
1000,16,0.2409045696258545,java
10000,1,0.23946928977966309,java
10000,1,0.2263033390045166,java
10000,1,0.217665433883667,java
10000,1,0.23397445678710938,java
10000,1,0.22941255569458008,java
10000,2,0.24935245513916016,java
10000,2,0.24903202056884766,java
10000,2,0.28424715995788574,java
10000,2,0.29709911346435547,java
10000,2,0.2547273635864258,java
10000,4,0.25455784797668457,java
10000,4,0.28181982040405273,java
10000,4,0.23942995071411133,java
10000,4,0.2317812442779541,java
10000,4,0.23302030563354492,java
10000,8,0.2325727939605713,java
10000,8,0.23679113388061523,java
10000,8,0.22788691520690918,java
10000,8,0.24879240989685059,java
10000,8,0.2701544761657715,java
10000,16,0.29302453994750977,java
10000,16,0.24792027473449707,java
10000,16,0.2497715950012207,java
10000,16,0.2616384029388428,java
10000,16,0.28127384185791016,java
100000,1,0.2524147033691406,java
100000,1,0.30120348930358887,java
100000,1,0.28113412857055664,java
100000,1,0.29531097412109375,java
100000,1,0.2866380214691162,java
100000,2,0.27426958084106445,java
100000,2,0.2533707618713379,java
100000,2,0.22332048416137695,java
100000,2,0.23889517784118652,java
100000,2,0.25183606147766113,java
100000,4,0.23567867279052734,java
100000,4,0.25897645950317383,java
100000,4,0.23738884925842285,java
100000,4,0.27886152267456055,java
100000,4,0.2571895122528076,java
100000,8,0.267669677734375,java
100000,8,0.2697000503540039,java
100000,8,0.27238941192626953,java
100000,8,0.30779194831848145,java
100000,8,0.3072078227996826,java
100000,16,0.2809934616088867,java
100000,16,0.29190731048583984,java
100000,16,0.32505202293395996,java
100000,16,0.25681114196777344,java
100000,16,0.2593531608581543,java
1000000,1,0.2854170799255371,java
1000000,1,0.2478327751159668,java
1000000,1,0.2742443084716797,java
1000000,1,0.28750085830688477,java
1000000,1,0.2591557502746582,java
1000000,2,0.27783894538879395,java
1000000,2,0.2756960391998291,java
1000000,2,0.2531101703643799,java
1000000,2,0.27861905097961426,java
1000000,2,0.27724480628967285,java
1000000,4,0.2672269344329834,java
1000000,4,0.2858543395996094,java
1000000,4,0.2822227478027344,java
1000000,4,0.29116010665893555,java
1000000,4,0.26568102836608887,java
1000000,8,0.27315735816955566,java
1000000,8,0.33748650550842285,java
1000000,8,0.3270599842071533,java
1000000,8,0.3297007083892822,java
1000000,8,0.3147120475769043,java
1000000,16,0.3218958377838135,java
1000000,16,0.2885756492614746,java
1000000,16,0.3426985740661621,java
1000000,16,0.3224809169769287,java
1000000,16,0.35093188285827637,java
10000000,1,0.4305241107940674,java
10000000,1,0.4274919033050537,java
10000000,1,0.4174466133117676,java
10000000,1,0.4169774055480957,java
10000000,1,0.395308256149292,java
10000000,2,0.45130419731140137,java
10000000,2,0.39012742042541504,java
10000000,2,0.3989076614379883,java
10000000,2,0.3790321350097656,java
10000000,2,0.43935489654541016,java
10000000,4,0.49834632873535156,java
10000000,4,0.4463164806365967,java
10000000,4,0.46410369873046875,java
10000000,4,0.5051219463348389,java
10000000,4,0.5093185901641846,java
10000000,8,0.5018815994262695,java
10000000,8,0.4636514186859131,java
10000000,8,0.4346885681152344,java
10000000,8,0.44776463508605957,java
10000000,8,0.42861104011535645,java
10000000,16,0.38612961769104004,java
10000000,16,0.45444464683532715,java
10000000,16,0.5186097621917725,java
10000000,16,0.49074435234069824,java
10000000,16,0.4952201843261719,java
100000000,1,1.911043643951416,java
100000000,1,2.062612771987915,java
100000000,1,1.8244225978851318,java
100000000,1,1.8577194213867188,java
100000000,1,1.8599586486816406,java
100000000,2,2.050473928451538,java
100000000,2,1.9512014389038086,java
100000000,2,1.636061668395996,java
100000000,2,1.9533641338348389,java
100000000,2,1.9610047340393066,java
100000000,4,2.1464507579803467,java
100000000,4,1.981555461883545,java
100000000,4,2.3533012866973877,java
100000000,4,2.177623748779297,java
100000000,4,2.0029780864715576,java
100000000,8,2.2230796813964844,java
100000000,8,2.3531765937805176,java
100000000,8,2.3629562854766846,java
100000000,8,1.690368413925171,java
100000000,8,2.336608409881592,java
100000000,16,2.1108574867248535,java
100000000,16,1.547410249710083,java
100000000,16,1.827228307723999,java
100000000,16,2.098109722137451,java
100000000,16,2.0739073753356934,java
1000,1,0.007666110992431641,c
1000,1,0.008024930953979492,c
1000,1,0.008054018020629883,c
1000,1,0.0079193115234375,c
1000,1,0.010116815567016602,c
1000,2,0.013038873672485352,c
1000,2,0.009300708770751953,c
1000,2,0.009235620498657227,c
1000,2,0.008459806442260742,c
1000,2,0.009737014770507812,c
1000,4,0.014001846313476562,c
1000,4,0.013365030288696289,c
1000,4,0.01655292510986328,c
1000,4,0.011970996856689453,c
1000,4,0.009870529174804688,c
1000,8,0.014919281005859375,c
1000,8,0.013131380081176758,c
1000,8,0.007130622863769531,c
1000,8,0.007658958435058594,c
1000,8,0.015566587448120117,c
1000,16,0.012746572494506836,c
1000,16,0.01776409149169922,c
1000,16,0.008882284164428711,c
1000,16,0.011718273162841797,c
1000,16,0.010705709457397461,c
10000,1,0.010753154754638672,c
10000,1,0.008255481719970703,c
10000,1,0.007879018783569336,c
10000,1,0.00867605209350586,c
10000,1,0.0075337886810302734,c
10000,2,0.007437705993652344,c
10000,2,0.008314132690429688,c
10000,2,0.007829427719116211,c
10000,2,0.008826255798339844,c
10000,2,0.007346153259277344,c
10000,4,0.01143193244934082,c
10000,4,0.008628606796264648,c
10000,4,0.008545398712158203,c
10000,4,0.012748003005981445,c
10000,4,0.012594461441040039,c
10000,8,0.013525247573852539,c
10000,8,0.013519763946533203,c
10000,8,0.02040410041809082,c
10000,8,0.009804725646972656,c
10000,8,0.012079715728759766,c
10000,16,0.01119375228881836,c
10000,16,0.016360044479370117,c
10000,16,0.012120246887207031,c
10000,16,0.011959552764892578,c
10000,16,0.016550064086914062,c
100000,1,0.01181483268737793,c
100000,1,0.012127399444580078,c
100000,1,0.00877833366394043,c
100000,1,0.011595010757446289,c
100000,1,0.010706901550292969,c
100000,2,0.011180877685546875,c
100000,2,0.00967264175415039,c
100000,2,0.010840892791748047,c
100000,2,0.011131763458251953,c
100000,2,0.010242938995361328,c
100000,4,0.010761022567749023,c
100000,4,0.009027719497680664,c
100000,4,0.010246515274047852,c
100000,4,0.0074460506439208984,c
100000,4,0.00898432731628418,c
100000,8,0.015446901321411133,c
100000,8,0.018184661865234375,c
100000,8,0.007924556732177734,c
100000,8,0.015844106674194336,c
100000,8,0.013431310653686523,c
100000,16,0.013701200485229492,c
100000,16,0.012964725494384766,c
100000,16,0.01590561866760254,c
100000,16,0.013294458389282227,c
100000,16,0.014890670776367188,c
1000000,1,0.043648719787597656,c
1000000,1,0.03901362419128418,c
1000000,1,0.03429913520812988,c
1000000,1,0.03655552864074707,c
1000000,1,0.03959798812866211,c
1000000,2,0.029140233993530273,c
1000000,2,0.03256678581237793,c
1000000,2,0.030465364456176758,c
1000000,2,0.03206133842468262,c
1000000,2,0.029048919677734375,c
1000000,4,0.02826690673828125,c
1000000,4,0.02695155143737793,c
1000000,4,0.03263258934020996,c
1000000,4,0.02933049201965332,c
1000000,4,0.0254971981048584,c
1000000,8,0.024945974349975586,c
1000000,8,0.030478239059448242,c
1000000,8,0.032691240310668945,c
1000000,8,0.028203248977661133,c
1000000,8,0.02973461151123047,c
1000000,16,0.029767513275146484,c
1000000,16,0.02860879898071289,c
1000000,16,0.024405241012573242,c
1000000,16,0.03326916694641113,c
1000000,16,0.021789073944091797,c
10000000,1,0.2698535919189453,c
10000000,1,0.27962422370910645,c
10000000,1,0.2749817371368408,c
10000000,1,0.28742313385009766,c
10000000,1,0.27033472061157227,c
10000000,2,0.20186924934387207,c
10000000,2,0.21795392036437988,c
10000000,2,0.20158123970031738,c
10000000,2,0.21014094352722168,c
10000000,2,0.20439743995666504,c
10000000,4,0.17844343185424805,c
10000000,4,0.17264652252197266,c
10000000,4,0.18600130081176758,c
10000000,4,0.16652154922485352,c
10000000,4,0.17044782638549805,c
10000000,8,0.1677837371826172,c
10000000,8,0.17308735847473145,c
10000000,8,0.16610074043273926,c
10000000,8,0.15574979782104492,c
10000000,8,0.17301201820373535,c
10000000,16,0.14916276931762695,c
10000000,16,0.13814663887023926,c
10000000,16,0.15309858322143555,c
10000000,16,0.13988113403320312,c
10000000,16,0.15134549140930176,c
100000000,1,2.482722282409668,c
100000000,1,2.466625690460205,c
100000000,1,2.497654676437378,c
100000000,1,2.447293281555176,c
100000000,1,2.4480462074279785,c
100000000,2,2.0516183376312256,c
100000000,2,2.052644968032837,c
100000000,2,2.1024646759033203,c
100000000,2,2.077768087387085,c
100000000,2,1.8870713710784912,c
100000000,4,1.666316032409668,c
100000000,4,1.6186959743499756,c
100000000,4,1.652376651763916,c
100000000,4,1.4662103652954102,c
100000000,4,1.5851771831512451,c
100000000,8,1.5100984573364258,c
100000000,8,1.5565996170043945,c
100000000,8,1.522958755493164,c
100000000,8,1.5874137878417969,c
100000000,8,1.5194706916809082,c
100000000,16,1.32010817527771,c
100000000,16,1.3463366031646729,c
100000000,16,1.2942302227020264,c
100000000,16,1.3053932189941406,c
100000000,16,1.3366210460662842,c
